Year,Probability_15_SSP1,Probability_20_SSP1,Probability_15_SSP2,Probability_20_SSP2,Probability_15_SSP3,Probability_20_SSP3,Probability_15_SSP4,Probability_20_SSP4,Probability_15_SSP5,Probability_20_SSP5
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0e-5,0.0,1.0e-5,0.0
2022,0.0,0.0,0.0,0.0,1.0e-5,0.0,3.0e-5,0.0,4.0e-5,0.0
2023,1.0e-5,0.0,2.0e-5,0.0,0.00013,0.0,0.00012,0.0,0.00074,0.0
2024,8.0e-5,0.0,0.00014,0.0,0.00042,0.0,0.00077,0.0,0.00396,0.0
2025,0.00023,0.0,0.00035,0.0,0.00085,0.0,0.00211,0.0,0.01119,0.0
2026,0.00039,0.0,0.00075,0.0,0.00169,0.0,0.00418,0.0,0.02197,0.0
2027,0.00077,0.0,0.00165,0.0,0.00389,0.0,0.00908,0.0,0.04401,0.0
2028,0.00176,0.0,0.0037,0.0,0.00885,0.0,0.01942,0.0,0.08437,0.0
2029,0.0028,0.0,0.00589,0.0,0.01463,0.0,0.03195,0.0,0.12854,0.0
2030,0.00346,0.0,0.00868,0.0,0.02192,0.0,0.0463,0.0,0.18014,0.0
2031,0.00543,0.0,0.01534,0.0,0.038,0.0,0.07649,0.0,0.2652,0.0
2032,0.00752,0.0,0.02294,0.0,0.05845,0.0,0.11394,0.0,0.35664,0.0
2033,0.00651,0.0,0.02343,0.0,0.06461,0.0,0.1306,0.0,0.39868,0.0
2034,0.00524,0.0,0.02189,0.0,0.06821,0.0,0.1416,0.0,0.43066,2.0e-5
2035,0.00537,0.0,0.02602,0.0,0.08849,0.0,0.18219,0.0,0.50731,3.0e-5
2036,0.00525,0.0,0.0305,0.0,0.11379,0.0,0.23275,0.0,0.58794,7.0e-5
2037,0.00541,0.0,0.0369,0.0,0.14516,0.0,0.29021,0.0,0.6642,0.00022
2038,0.00547,0.0,0.04395,0.0,0.18194,0.0,0.35352,0.0,0.73331,0.00058
2039,0.00484,0.0,0.05095,0.0,0.225,0.0,0.42042,4.0e-5,0.79237,0.00121
2040,0.00462,0.0,0.0567,0.0,0.26794,0.0,0.48517,5.0e-5,0.84102,0.00274
2041,0.00398,0.0,0.06235,0.0,0.3124,0.0,0.55095,8.0e-5,0.87975,0.00543
2042,0.00389,0.0,0.06781,0.0,0.35932,1.0e-5,0.6123,0.00018,0.91065,0.01016
2043,0.00326,0.0,0.07207,0.0,0.40554,2.0e-5,0.66908,0.00032,0.93446,0.0181
2044,0.0027,0.0,0.07548,0.0,0.44829,2.0e-5,0.71804,0.00061,0.95291,0.03045
