Dataset,StartDate,Level,Coverage
HadCRUT,2000-01-01,99%,1.0
HadCRUT,2000-01-01,95%,0.9873015873015873
HadCRUT,2000-01-01,90%,0.9714285714285714
HadCRUT,2000-01-01,50%,0.6888888888888889
GISTEMP,2000-01-01,99%,0.9904761904761905
GISTEMP,2000-01-01,95%,0.9492063492063492
GISTEMP,2000-01-01,90%,0.9111111111111111
GISTEMP,2000-01-01,50%,0.6126984126984127
Berkeley,2000-01-01,99%,1.0
Berkeley,2000-01-01,95%,0.9904761904761905
Berkeley,2000-01-01,90%,0.9746031746031746
Berkeley,2000-01-01,50%,0.6825396825396826
HadCRUT,2016-11-01,99%,0.9734513274336283
HadCRUT,2016-11-01,95%,0.8938053097345132
HadCRUT,2016-11-01,90%,0.831858407079646
HadCRUT,2016-11-01,50%,0.5309734513274337
GISTEMP,2016-11-01,99%,0.9380530973451328
GISTEMP,2016-11-01,95%,0.831858407079646
GISTEMP,2016-11-01,90%,0.7433628318584071
GISTEMP,2016-11-01,50%,0.5221238938053098
Berkeley,2016-11-01,99%,0.9646017699115044
Berkeley,2016-11-01,95%,0.9026548672566371
Berkeley,2016-11-01,90%,0.7964601769911505
Berkeley,2016-11-01,50%,0.5221238938053098
HadCRUT,2010-01-01,99%,0.9743589743589743
HadCRUT,2010-01-01,95%,0.9282051282051282
HadCRUT,2010-01-01,90%,0.8564102564102564
HadCRUT,2010-01-01,50%,0.5846153846153846
GISTEMP,2010-01-01,99%,0.9333333333333333
GISTEMP,2010-01-01,95%,0.8564102564102564
GISTEMP,2010-01-01,90%,0.7794871794871795
GISTEMP,2010-01-01,50%,0.5230769230769231
Berkeley,2010-01-01,99%,0.9743589743589743
Berkeley,2010-01-01,95%,0.9179487179487179
Berkeley,2010-01-01,90%,0.8461538461538461
Berkeley,2010-01-01,50%,0.5435897435897435
